INDIRIZZI SCHEDE A CUI SI APPLICA QUESTO DIZIONARIO,,,,,,,,,,,,,,,,,,,
0x00030101,0x000803C1,0x000803C2,0x000803C3,0x00030102,0x00030103,0x00020101,0x000A0101,0x000A0102,0x000A0103,0x000B0101,0x000B0102,0x000B0103,,,,,,,
TASTIERA,INDIRIZZO H+L (hex),,TIPO,FORMATO,MINIMO,MASSIMO,UNITA' DI MISURA,R/W,Uso,Significato,Ubicazione in App,Nome in App,Aspetto in App,Effetti in App,,,,,
DATI STANDARD,,,,,,,,,,,,,,,,,,,
Firmware macchina,0,0,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,
Firmware scheda,0,1,uint16_t ,255.255,0,255.255,,R,,,,,,,,,,,
Modello,0,2,String[20],,,,,R,,,,,,,,,,,
Matricola,0,3,uint32_t ,,0,4294967296,,RW,,,,,,,,,,,
Tipo scheda,0,4,enum dipendente dalle macchine,,,,,R,,,,,,,,,,,
Stato,0,5,3*uint32_t,,,,,R,,,,,,,,,,,
Allarmi,0,6,due word uint16_t bitmapped ,,,,,R,Log GD,,,,,,,,,,
Comandi,0,7,uint16_t ,,,,,N,,,,,,,,,,,
Temperatura scheda,0,8,uint16_t ,,,,,R,,,,,,,,,,,
Secondi lavoro motore parziale,0,9,uint32_t ,,,,,RW,,,,,,,,,,,
Secondi lavoro motore totale,0,A,uint32_t ,,,,,RW,,,,,,,,,,,
Cicli complessivi parziale,0,B,uint32_t ,,,,,RW,,,,,,,,,,,
Cicli complessivi totale,0,C,uint32_t ,,,,,RW,,,,,,,,,,,
Cicli completi eseguiti parziale,0,D,uint32_t ,,,,,RW,,,,,,,,,,,
Cicli completi eseguiti totale,0,E,uint32_t ,,,,,RW,,,,,,,,,,,
Livello batteria,0,F,uint16_t ,,,,,R,,,,,,,,,,,
Salute batteria,0,10,uint16_t ,,,,,R,,,,,,,,,,,
Cicli batteria,0,11,uint16_t ,,,,,R,,,,,,,,,,,
Temperatura batteria,0,12,int16_t,,,,,R,,,,,,,,,,,
BatteryFirmware,0,13,uint32_t,,,,,R,,,,,,,,,,,
BatterySerial,0,14,uint32_t ,,,,,R,,,,,,,,,,,
Stato ingressi fisici,0,15,uint32_t ,,,,,R,,,,,,,,,,,
Stato uscite fisiche,0,16,uint32_t ,,,,,R,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DATI LOGICI TASTIERA,,,,,,,,,,,,,,,,,,,
Foto Tasti,80,0,uint8_t,,,,,R,,Variabile logica gestita dalla tastiera esterna,,,,,,,,,
Stato sistema (non piů usato),80,1,bool,,0,1,,R,,"0 = piano fermo, 1 = piano in movimento",,,,,,,,,
Comando Led Verde,80,2,uint32_t,"255,255,255,255",0,"255,255,255,255",,RW,,"BYTE 0: Attivazione led, numero ripetizioni 
bit8: 1=Led acceso fisso
bit7: 1=Led lampeggiante
bit 6: 1= Single shot, 0 =loop
bit 5-0: Numero di lampeggi per ogni ciclo
BYTE 1: Tempo di on del singolo lampeggio (in 4ms) 
BYTE 2: Tempo di off del singolo lampeggio (in 4ms)
BYTE 3: Tempo di pausa tra i gruppi di lampeggi (in 4ms) ",,,,,,,,,
Comando Led Rosso,80,3,uint32_t,"255,255,255,255",0,"255,255,255,255",,RW,,"BYTE 0: Attivazione led, numero ripetizioni 
bit8: 1=Led acceso fisso
bit7: 1=Led lampeggiante
bit 6: 1= Single shot, 0 =loop
bit 5-0: Numero di lampeggi per ogni ciclo
BYTE 1: Tempo di on del singolo lampeggio (in 4ms) 
BYTE 2: Tempo di off del singolo lampeggio (in 4ms)
BYTE 3: Tempo di pausa tra i gruppi di lampeggi (in 4ms) ",,,,,,,,,
Comando Buzzer,80,4,uint32_t,"255,255,255,255",0,"255,255,255,255",,RW,,"BYTE 0: Attivazione buzzer, numero ripetizioni 
bit8: 1=Buzzer acceso fisso
bit7: 1=Buzzer lampeggiante
bit 6-0: Numero di lampeggi per ogni ciclo
BYTE 1: Tempo di on del singolo suono (in 4ms) 
BYTE 2: Tempo di off del singolo suono (in 4ms)
BYTE 3: Tempo di pausa tra i gruppi di suoni (in 4ms) ",,,,,,,,,
Beep tasti,80,5,bool,,0,1,,RW,,"0 = off, 1 =on",,,,,,,,,
